HolderAddress,Balance
0x08e72ea7acc37a390fc13c3749c26a3bb5750ba5,110031336.051663
0x09293daae74a45f573dea58b8a10e7990282df15,100000000
0x09873522f400c92200606936060eb56535a807a7,10000000
0x09a22e49140d1c39b71e61a44227ed83d86d6295,0.78087617108536
0x09ac41b154917fa3cd6517e4777b5b88cc7726ad,35000000
0x0a0c53c062adaf6880885dc3c8d3d4dccb8adea3,10000000
0x0a7a1f2341ac84d49204808a9069840fa09396bb,10000000
0x0a8a6cddd975386e5fbab2f12c17139742166943,10000000
0x0aab0e8bd440b9b0c06f3ccaa5246da1b8ad7aaf,10000000
0x0ae4ddbfa9a451441af7ac6bbee6442b1d6c3b48,36.5222453324154
0x0b82fe7d5a30c399f06a09211e73789edc178f46,10000000
0x0b851c8a8421314cba7044c0c8bab0ef1d55e059,10000000
0x0badd73a099e215374f90bfaf0c4fae6c400f290,10000000
0x0bf8f5690b75566b78c8453d311d8e3c25de08c2,10000000
0x0c2eab32865293c13536a2208151178028a51c8a,10000000
0x0c59ae19f4280e450c051fa4be934de8666231e7,100000000
0x0c85bcf153d194a20e8e0af1e598b016bba4c9b3,10000000
0x0ca5e678596b2a83cb7c10d64ee5c456429b4891,10000000
0x0d44ee6a8070b568234cdefc0a13c56c4a1a2fc9,10000000
0x0d60959ba4dbefe1950f84a976d0bf8bc356203d,10000000
0x0d61534e5b060f1f74fbf4289e9fbbf4e75b4498,10000000
0x0da9f02bdd0976e1106f9ef85c88e2821f59855c,38.5749006425794
0x0df6f3e858a3c57e9a39b71aa3798c792898f0f1,3.42295144333847
0x0dfc9bc783ec9e4267ac71278955f59897e8900a,10000000
0x0e1b517f279f71045685609ca770e6e43ea504b5,10000000
0x0ec05f3fdd0ae0cca385a39ed46c0e251981f7c6,10000000
0x0ef44e37cc7511352236a5d5ad98c7c79e343334,10000000
0x0f078813aa00756f915be231dd668b09284c8080,10000000
0x0f20c2c2bcfc997f530fa510767fadc71888be3b,206.540007418003
0x0f6274152a65a0d671f35fd4d6c6fa2e1fd84620,100000000
0x0f99d06c13c7193212c6562e2ae600d1da2e9dad,10000000
0x0fd06147acec66ab36f3ba1dfdc3a76596242947,10000000
0x0fe82d2d91b430ab27da205871098f8d409d61b6,10000000
0x101d6ab399284c24f2cd6449515dc4fe43a04aa7,10000000
0x107bb118232a3347d3936203b0865b987074ca3c,100000000
0x10d2c806272b9b2dbc68ee94d9b8e86ea5273a3b,10000000
0x10de042a81a2822ec64809f0a96ec9fb6e251fa9,10000000
0x10f181befa5d26bf7c55bb31d86b6dd2d02752ca,10000000
0x116d402f6004dc53856a204a654d2c17eab835cb,2926381606.10038
0x11b2860cc35bed475b01f0a1fcc2b6a999543073,10000000
0x12438822162cdb27b629edd5be4c6d51e08db7f8,10000000
0x1274f41a05213e9ce8d5e9210c1ca49ef32fb5c1,4949487688.63226
0x128d56dd5394918b86b6ce2e21d4aa49b32fc531,10000000
0x129f4e39df7a643f5706c7d5484f0a2031d48b12,10000000
0x12b8604b3570b048dcfe32ca841683689da7ccdb,10000000
0x134c6b07c5f1b9131aabaf1fae3618a42ecc3d31,140000000
0x13c50aac4d573e78f09e0269d78885e5098eba15,28128443418.9662
0x13caecc66c8342cee54bbf7ab3909dc98ab465e2,100000000
0x13f75ba8457d379c0333e6eaf9e116a3e9f2b050,10000000
0x1403d36bbe6082cf771eb3c865bfde4b8fbe0e31,10000000
0x140d426e77ebca661941c8c9a9a01407109b7309,10000000
0x141fe06220a22d6abded16f361ed11c728616a96,10000000
0x1426f4032aa173fad089dc59e831624cf2fa723f,10000000
0x14360a253aab797922a02be977f4b27ac1ec289c,10000000
0x14a289d417e29764c6af60de34f74769a22bcc8b,10000000
0x14e52d7443903234b635ab6a2d52b97514ed8aec,100000000
0x1530122adb0e615f050061f7d03c236fbbd55653,10000000
0x154ae8935f5c1b0d58ed164e93a4f5945a79efec,10000000
0x156d9a34b291593f5a262bc37cd068bda5ff942d,10000000
0x15889778ad2a7fb8980c26609decc766e6f9e961,10000000
0x15a48e323bdca4956c620b9ab1beca32d88c0db3,10000000
0x15cfb62e919ea6e65b0e29f860fb2e0dfe483be0,10000000
0x15dc650bfb012e86bfe2a36bb3caabe45bfa0503,10000000
0x1601ccd4e1572b0546c21e7271251610988b2c70,10000000
0x163b003699fb037ab6e91d423de9a6679e6abd24,100000000
0x170ed2ed492fe01976c9efa79eb8e2222d47d40a,100000000
0x175d7ac3844ac969c1d17431e59ff057ad17ee3b,10000000
0x17848d13472703a3f92ea26bfc38eb06e4e62a77,35000000
0x17c566e12ee786c264dc90e057058bde4edc71a0,10000000
0x17c9507b28f81877ab2e3435e4b237c8e9ff3a39,10000000
0x181464fa03a038ed4e19bcb7924e830b9de04047,10000000
0x182b1c87775d249da3977872bbfa8049959e0c36,10000000
0x182b34e0556019aaacc54437f1712603d0e4af95,10000000
0x184f3e242c118bc483ff5e622a07ca3e9167b783,10000000
0x18506053a4346ed78a72c94b8e5fbe3a35c75dc0,10000000
0x18594d4495eba8a5b8c1ee7ca62c266b6ed26fce,10000000
0x18c426a4e1d9ef4d9ffe99d66b1c450e3229f58e,58633.697092808
0x18fc43b74fb706f542a2bdd10b6ccf93bdff37b0,10000000
0x1912d4429da29033b0217d9dd861e8cb11cfa518,10000000
0x1950e924759903eca24cda1e5bdcd9868dc230d7,10000000
0x1987df81016dcb1ac35daef3d7315d7ef4e5d165,10000000
0x19fdbf4a37aaa2cda7f0a1870a7b80b172533aa6,10000000
0x1a40b36a8688efb152d8cc66c46e1fa52a698b0c,0.357523998218144
0x1ad00c22c73b7b548420d0d5cb3d5ccd5a4f4ff4,100000000
0x1ae77f4db36879b082b029908405d08699f90aca,10000000
0x1b012e6aab89c3e710c43ed4d53cb5a087308212,100000000
0x1b4c21da7d5595da6c4b8068c49eccc611a8e283,10000000
0x1b5647ccc15484d10aebbcd303a6462c73476543,10000034.1647108
0x1bb1e361916683ccc3bda445cf89a9dad6d5be1b,10000000
0x1c1782f83bbafbef434769bbff5a3ac001176fab,10000000
0x1c3d95a0b9e07b54675c3c99cfeea724c98857ea,10000000
0x1c4723ab98d1f25ef21a75256a8af080b45006fd,100000000
0x1c8203752cb1dc56ca04bf907f12c8a2da6be248,10000000
0x1c8dd0fee2084644447c188d830a84b9fc9c7401,10000000
0x1caae2240ca0aa3d5f46dea853c34e5bd043a137,691646.018140279
0x1ce259c8b5ed4e4b1bb7b99c16e5e6398e16707a,10000000
0x1cf137e04e56b3b9f0f05544315b26d4c9f3c3b4,100000000
0x1cff152032b4c4e4bdb42eadce76e1cc72d8147b,991495.554202897
0x1d75c2e76f34157ca35c32425a938f51a4a65650,10000000
0x1d7e92facb2fd3feef6a8dd0a876e9c983149716,10000000
0x1d946066b04911613f74980422cafbc00115eb4e,10000000
0x1dfe010cba2549ef30ed508c91eeebef861cee0c,10000000
0x1e0a9f416bb38c2ec6781949f3b4fba7a16290a9,10000000
0x1e3c74226f07f1e9ccc33c2574a7d829903bc4b1,10000000
0x1e93cf78300f060499c4febda990d825efe7e0b8,100000000
0x1ebd0669ba34750c55484a5ce371f944bc8fe679,10000000
0x1ef9a28c2f33b8297a5a687e49f3feaf14c8a461,10000000
0x1f28b6cc67525766df47510311b0516c939cf362,10000000
0x1f36df3a34441e22449bcb7dcfc55b1946e9a09d,10000000
