"HolderAddress","Balance","PendingBalanceUpdate"
"0x35863f440340d732bf5e01eefc5297d3dd5adf3a","249947400.242863","No"
"0x371769fbc5c091645d9a9444107ab742b419a3cb","1985719776.33367","No"
"0x38114a7aec6356c1a28dbc47b5562e1429da1c1d","22659276.0356339","No"
"0x384f2f93517b56bdf552dd822e0456c4fa998fff","5423535.62679323","No"
"0x39b80ffb251d3ca7c6977aaeda1f0c2373d32438","27377392604.0438","No"
"0x3b3499d868a879e3e7b764cc4798646c8e6138ea","132421808.711328","No"
"0x40cc6b4870a85a7f91d1aa0c423d44ad327bb57f","3055377957.30486","No"
"0x44ca144a21462d1215bd8758ea65b326fd714d77","9919657600.20224","No"
"0x450a53194e3454884b4c27ead50521cf1b2f86be","4035240.18934829","No"
"0x4592037ec593902b80c3738de06e0864bb44f4fd","4095589081.41953","No"
"0x4771a883088cd7beae45f7d84cfbfdcf18f726c5","975000.009009362","No"
"0x4a03e42e34a123f1c15afe549bdb1df0f6317f6c","217847.595140487","No"
"0x4b6adfff0cba13b8af5efc4543f67075a8c1a13e","1667376538.66296","No"
"0x4c9cda6b9470ef102c1f853303555173e54ffa53","26966240.7845913","No"
"0x4fe603b80052660285f0710b73a42069a706f35a","13668131336.225","No"
"0x52cf07d1c703e25ce9836dcc799670e8fb2f0130","19849522455.6458","No"
"0x57882836ca6b1ce2ac98f89b896e262d2c827297","19829996998.7098","No"
"0x57eafccbf9736e4bed87ce94ef82db7264003c16","0.723154618205326","No"
"0x59e69fbc1ace8342622eec331f19dcafbe15ad22","51320429.7746696","No"
"0x5a08f8f1dbc3a661da6f2728b0251b38b551f5a1","115.056729874302","No"
"0x5f2d2fa5e25a8bc6513bcf889c0868897b733972","13662888337.8627","No"
"0x6071fc3ba1bf12c043cc719477b6e8879c24012d","2128721797.62031","No"
"0x60a06aaaa0134b5a824babcc72a8d2444abe4dfc","39678837834.2948","No"
"0x60cc73b7391f44899d4f3d09ecb36f21704aa5be","41082773833.3905","No"
"0x6127cb39ac8e6066c469ace0edcc3506feaabf94","223699.037122153","No"
"0x615150de4b0ae6007c98ed2509b5242f3f50b2b6","336923427.789733","No"
"0x63118d641696a83c0fb8eab19a78979da79b4305","29807202756.5539","No"
"0x644a7158c86b050160dd28bbf5fc8d6bbcf4e8a8","563049957597.742","No"
"0x64db1db90888f2e024876f27871d3ab77a56415c","626192349.604232","No"
"0x65c337b3d2b4c2e208801d95ea55afb7409eae2b","13651472811.3438","No"
"0x676b042848b3c0da30abfad552e6d5bf3cff725f","13681815151.1019","No"
"0x67bd29ebf8219fd5fea92334ef89fc47969f81f5","17412062.2819378","No"
"0x684c7dbdd5c0f19b79aa72eeef68e4ff1fd80adf","65239.9129719258","No"
"0x6861327768667bbef9ca248c08839b6f75a2ffcb","19833502323.3899","No"
"0x6adb76bbd965749ec57e128c60a91fecdaabba06","19838265231.2719","No"
"0x702a44af3f6c4e2b08d2bdc9ad11e6947622f106","19850918935.6281","No"
"0x70e1cb759996a1527ed1801b169621c18a9f38f9","25649086861.381","No"
"0x712d59c1edd7e8fd32813be867435ce2319a4d6b","797629691.509442","No"
"0x72c3af6396cdd713198b35c98367a1227992ce6f","9211349051.14196","No"
"0x72c618b6f93f865fbc3a10d496ae896b1243faa1","13652737744.2974","No"
"0x77ff80f5d80708510184cf56ca8fe7d2b87a13bc","13653706036.8852","No"
"0x79a97d5b5f91f4b981b3060e8f4ebea71f57f1d0","3972456868.42489","No"
"0x7efc879174261604d701ecfd8e14d949e0ddcd39","19848824055.1353","No"
"0x7fb65f9d274aa18255fd40e1ac095c1d882cf00c","12299683012.1875","No"
